rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio,first_nonzero_shift_samples,engineering_latency_removed
44100,fir65-p18000-s19000,edge,AB,0.23361844745821497,0.2387424942942854,0.23354858290769465,True,0.9652625376302926,0,32
44100,fir65-p18000-s19000,overlap-reference,A1,0.002800792074004156,0.005915997445265478,0.002800232121606298,True,1.0003958973582716,0,32
44100,fir65-p18000-s19000,overlap-reference,B1,0.002030061379048399,0.007669245498993517,0.002029600661136882,True,1.0006507045032418,0,32
44100,fir65-p18000-s19000,overlap-reference,AB,0.002800725564285498,0.005915997445265478,0.002800166314662513,True,1.0003958973582716,0,32
44100,fir65-p18000-s19000,sustained-edge,A1,0.1269564049506178,0.08616958239016896,0.1269254542607741,True,1.0360065707285966,0,32
44100,fir65-p18000-s19000,sustained-edge,B1,0.4080462463788765,0.27923399258686876,0.40796568229303487,True,0.8008788636087015,0,32
44100,fir65-p18000-s19000,sustained-edge,AB,0.12695580768509,0.08616958239016896,0.12692486077557455,True,1.0360065707285966,0,32
44100,fir129-p18000-s19000,reference,A1,0.020994791368085654,0.047687650129380976,0.02099072835597234,True,1.0245465725093055,0,64
44100,fir129-p18000-s19000,reference,B1,0.002079429930072747,0.007595918878144084,0.0020790147469888875,True,1.0009257993286163,0,64
44100,fir129-p18000-s19000,reference,AB,0.0209679178488779,0.047687650129380976,0.020963842541683174,True,1.0245465725093055,0,64
44100,fir129-p18000-s19000,edge,A1,0.23652422087293806,0.23378420796796914,0.23646465253951854,True,0.9664104909301887,0,64
44100,fir129-p18000-s19000,edge,B1,0.42421124284308037,0.27170638662051966,0.424138382281804,True,0.8270996688158433,0,64
44100,fir129-p18000-s19000,edge,AB,0.23652425591538517,0.23378420796796914,0.23646468087068456,True,0.9664104909301887,0,64
44100,fir129-p18000-s19000,overlap-reference,A1,0.002872861018876275,0.0059545685212158755,0.0028723513355769733,True,1.0007824323560237,0,64
44100,fir129-p18000-s19000,overlap-reference,B1,0.0020794302314815407,0.007595919136200764,0.002079015047931377,True,1.0009257932908837,0,64
44100,fir129-p18000-s19000,overlap-reference,AB,0.0028727758027214116,0.0059545685212158755,0.0028722669334597614,True,1.0007824323560237,0,64
44100,fir129-p18000-s19000,sustained-edge,A1,0.1299597770960495,0.08437998299461079,0.12993128318696315,True,1.0364758218301702,0,64
44100,fir129-p18000-s19000,sustained-edge,B1,0.42421123742777067,0.271706381140015,0.42413837686798467,True,0.8270996771691972,0,64
44100,fir129-p18000-s19000,sustained-edge,AB,0.12995870372946902,0.08437998299461079,0.12993021241252403,True,1.0364758218301702,0,64
44100,iir-p18000-s20000,reference,A1,0.5717636504529642,0.6508344973551886,0.020182730635628966,True,1.0540522146983258,0,0
44100,iir-p18000-s20000,reference,B1,0.24989447349206428,0.277742814158636,0.002002634301480679,True,1.0029257873559068,0,0
44100,iir-p18000-s20000,reference,AB,0.5711657932212737,0.6508344973551886,0.020156879149802787,True,1.0540522146983258,0,0
44100,iir-p18000-s20000,edge,A1,1.5121723342198847,1.5924443872306473,0.22274031708102393,True,0.7703928056286397,0,0
44100,iir-p18000-s20000,edge,B1,1.237404487064647,1.274377684949207,0.3717505790662368,True,0.5472112277644257,0,0
44100,iir-p18000-s20000,edge,AB,1.5121723008281711,1.5924443872306473,0.2227403359628226,True,0.7703928056286397,0,0
44100,iir-p18000-s20000,overlap-reference,A1,0.16025388513010813,0.17782057851623184,0.002750543502645271,True,1.0046306354918115,0,0
44100,iir-p18000-s20000,overlap-reference,B1,0.2498944735314346,0.27774282086709934,0.00200263475815267,True,1.0029257594344656,0,0
44100,iir-p18000-s20000,overlap-reference,AB,0.16025513369245767,0.17782057851623184,0.002750453534623336,True,1.0046306354918115,0,0
44100,iir-p18000-s20000,sustained-edge,A1,1.318458342611525,1.1058704888929378,0.12343350542485398,True,1.0233313918711542,0,0
44100,iir-p18000-s20000,sustained-edge,B1,1.237404488822659,1.2743776654823178,0.3717505727332721,True,0.547211213458205,0,0
44100,iir-p18000-s20000,sustained-edge,AB,1.3184611138563758,1.1058704888929378,0.12343250864457557,True,1.0233313918711542,0,0
44100,fir17-p18000-s20000,reference,A1,0.0161069100794089,0.04410493098648737,0.016108538055142625,True,1.0187757300793927,0,8
44100,fir17-p18000-s20000,reference,B1,0.0015657651033568422,0.006691395061154707,0.0015659043564938287,True,0.9999354032958793,0,8
44100,fir17-p18000-s20000,reference,AB,0.01608628559144712,0.04410493098648737,0.016087894471739566,True,1.0187757300793927,0,8
44100,fir17-p18000-s20000,edge,A1,0.1912535024037838,0.20715915427702153,0.19125992893422294,True,0.9468284710754503,0,8
44100,fir17-p18000-s20000,edge,B1,0.34175764951038534,0.2664602708321034,0.3417641644200071,True,0.7482929833423307,0,8
44100,fir17-p18000-s20000,edge,AB,0.19125353043768586,0.20715915427702153,0.19125995020870892,True,0.9468284710754503,0,8
44100,fir17-p18000-s20000,overlap-reference,A1,0.0022066804348305257,0.005236809848135722,0.002206916639367005,True,0.9999385801364762,0,8
44100,fir17-p18000-s20000,overlap-reference,B1,0.0015657652484729453,0.00669139346276634,0.0015659045025135884,True,0.9999353966157373,0,8
44100,fir17-p18000-s20000,overlap-reference,AB,0.0022066771978787973,0.005236809848135722,0.0022069141186480054,True,0.9999385801364762,0,8
44100,fir17-p18000-s20000,sustained-edge,A1,0.1036927790691107,0.07477017273130589,0.10369826176390928,True,1.02782801256125,0,8
44100,fir17-p18000-s20000,sustained-edge,B1,0.34175764598265934,0.26646026276321927,0.3417641608914517,True,0.7482929918763674,0,8
44100,fir17-p18000-s20000,sustained-edge,AB,0.10369266664739296,0.07477017273130589,0.10369815178437276,True,1.02782801256125,0,8
44100,fir33-p18000-s20000,reference,A1,0.017620004803077478,0.04090781871311872,0.017616195538016622,True,1.0213652576246117,0,16
44100,fir33-p18000-s20000,reference,B1,0.0017797904857729716,0.006602636521058579,0.0017793653341996551,True,1.0001140700968774,0,16
44100,fir33-p18000-s20000,reference,AB,0.017597459998455255,0.04090781871311872,0.017593635261588397,True,1.0213652576246117,0,16
44100,fir33-p18000-s20000,edge,A1,0.18771248009361516,0.1781693649232332,0.1876888441361337,True,0.9599537401199715,0,16
44100,fir33-p18000-s20000,edge,B1,0.311471889488271,0.23199893795315976,0.3114410964191,True,0.8085893146076218,0,16
44100,fir33-p18000-s20000,edge,AB,0.18771250209014903,0.1781693649232332,0.1876888569265904,True,0.9599537401199715,0,16
44100,fir33-p18000-s20000,overlap-reference,A1,0.0024100539962247044,0.00506233244694104,0.00240956489828957,True,1.0005022954681253,0,16
44100,fir33-p18000-s20000,overlap-reference,B1,0.0017797910701075408,0.006602636580915167,0.0017793659189062824,True,1.000114064660438,0,16
44100,fir33-p18000-s20000,overlap-reference,AB,0.0024100522033564525,0.00506233244694104,0.002409564384352544,True,1.0005022954681253,0,16
44100,fir33-p18000-s20000,sustained-edge,A1,0.10591327583676848,0.06430685809000715,0.10589114260249548,True,1.031730100062012,0,16
44100,fir33-p18000-s20000,sustained-edge,B1,0.31147188349251026,0.2319989308575442,0.3114410904272083,True,0.8085893235728159,0,16
44100,fir33-p18000-s20000,sustained-edge,AB,0.10591314348236765,0.06430685809000715,0.10589101540565325,True,1.031730100062012,0,16
