rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio
48000,raw-control,overlap-reference,A1,0.0,0.0,0.0,True,1.0
48000,raw-control,overlap-reference,B1,0.0,0.0,0.0,True,1.0
48000,raw-control,overlap-reference,AB,0.0,0.0,0.0,True,1.0
48000,raw-control,sustained-edge,A1,0.0,0.0,0.0,True,1.0
48000,raw-control,sustained-edge,B1,0.0,0.0,0.0,True,1.0
48000,raw-control,sustained-edge,AB,0.0,0.0,0.0,True,1.0
48000,butter4-fc18000,reference,A1,0.9149625058405086,0.8633732434052538,0.09021582093689315,True,0.9727989502281122
48000,butter4-fc18000,reference,B1,0.11693664744747813,0.14004868003224513,0.002002336144536682,True,1.0000983322939432
48000,butter4-fc18000,reference,AB,0.8872747471762131,0.8633732434052538,0.08744104709396718,True,0.9727989502281122
48000,butter4-fc18000,edge,A1,1.4492378595717788,1.2423810191038844,0.18798931452618156,True,0.8973590272127681
48000,butter4-fc18000,edge,B1,1.612468219699973,1.4286927773713929,0.3789069223760662,True,0.6971184490898499
48000,butter4-fc18000,edge,AB,1.4492379050580564,1.2423810191038844,0.18798939025343947,True,0.8973590272127681
48000,butter4-fc18000,overlap-reference,A1,0.07408403322336256,0.08645408440197702,0.002198125741879895,True,0.9979309942801455
48000,butter4-fc18000,overlap-reference,B1,0.11693664736895797,0.14004868284531136,0.0020023377765494687,True,1.0000983425600454
48000,butter4-fc18000,overlap-reference,AB,0.07408419807124765,0.08645408440197702,0.002198124680647427,True,0.9979309942801455
48000,butter4-fc18000,sustained-edge,A1,0.8375727467685438,0.49711271387882267,0.09860494663857568,True,0.975746312779629
48000,butter4-fc18000,sustained-edge,B1,1.6124682230088796,1.428692750471919,0.3789069185076904,True,0.6971184357947559
48000,butter4-fc18000,sustained-edge,AB,0.8375727543190928,0.49711271387882267,0.09860494982985066,True,0.975746312779629
