rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass
44100,fir129-p16000-s18000,hann-g64,sustained-edge,B1,1.561025788610822e-05,7.115926519715881e-06,1.5021087698264567e-05,True,4.7563345716461734e-08,True
44100,fir129-p16000-s18000,kaiser-g64,sustained-edge,B1,2.3105918180986785e-05,1.2102394184798431e-05,2.2668822369107684e-05,True,4.7563345716461734e-08,True
44100,fir129-p16000-s18000,kaiser-g16,sustained-edge,AB,5.521526413336965e-05,4.5326230594086136e-05,5.2850095306335697e-05,True,1.1843585490808639e-08,True
44100,fir129-p16000-s18000,hann-g32,sustained-edge,AB,3.31288136343582e-05,1.4323020457438893e-05,2.939096876595634e-05,True,1.1843585490808639e-08,True
44100,fir129-p16000-s18000,kaiser-g32,sustained-edge,AB,2.8287051839261726e-05,2.4588567769195207e-05,2.737785392267346e-05,True,1.1843585490808639e-08,True
44100,fir129-p16000-s18000,lagrange-g64,sustained-edge,AB,3.6441094170259155e-06,1.2521389862689067e-06,2.9619909653414364e-06,True,1.1843585490808639e-08,True
44100,fir129-p16000-s18000,hann-g64,sustained-edge,AB,4.270202756249071e-06,2.0024008467140233e-06,3.7147307904403617e-06,True,1.1843585490808639e-08,True
44100,fir129-p16000-s18000,kaiser-g64,sustained-edge,AB,1.4533745158717118e-05,1.1173159957332501e-05,1.4055814902648167e-05,True,1.1843585490808639e-08,True
44100,iir-p16000-s19000,kaiser-g16,reference,A1,4.41173330492888e-05,4.069950454598714e-05,4.337519311771066e-05,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,hann-g32,reference,A1,9.957573055597822e-06,9.419612485531537e-06,9.48816853229968e-06,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,kaiser-g32,reference,A1,3.182398409362133e-05,2.6042244070527934e-05,3.173703720423058e-05,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,lagrange-g64,reference,A1,5.267287944794539e-07,8.861676771281085e-07,4.014971460584229e-07,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,hann-g64,reference,A1,1.2259760694150297e-06,1.2104336734000907e-06,1.1669847631925686e-06,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,kaiser-g64,reference,A1,1.4665808920344768e-05,1.3541934097931167e-05,1.4642860506449968e-05,True,4.804834088452532e-09,True
44100,iir-p16000-s19000,kaiser-g16,reference,B1,5.888948616247834e-05,5.6479773843588485e-05,5.882427491986043e-05,True,2.8746444223704745e-10,True
