policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S0,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,sustained-edge,B1,1.908980778404553,1.8753476557757467,0.0040531337797354286,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,sustained-edge,AB,1.255289741927756,1.1265447757752494,0.2924352854707954,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,sustained-edge,AB,0.8908254273093023,0.4525471798877899,0.23778416209444617,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,sustained-edge,AB,1.3293711259108931,1.4242804411534642,0.4913233997734896,True,physical effect plus numerical residual; not listening score
S2,44100,reference,A1,0.26723689695892683,0.32258861451429804,0.05347140668959354,True,physical effect plus numerical residual; not listening score
S2,48000,reference,A1,0.9083488574404142,0.7754181753395789,0.18146436994348691,True,physical effect plus numerical residual; not listening score
S2,96000,reference,A1,0.4953168004562695,0.9170610656901484,0.14689622549823897,True,physical effect plus numerical residual; not listening score
S2,44100,reference,B1,0.336882355397587,0.36163149970020053,0.0033047252566825,True,physical effect plus numerical residual; not listening score
S2,48000,reference,B1,0.3368539829795198,0.33698303755968373,0.00331163708870221,True,physical effect plus numerical residual; not listening score
S2,96000,reference,B1,0.33683997750565364,0.3445025649570411,0.003321306178422533,True,physical effect plus numerical residual; not listening score
S2,44100,reference,AB,0.26744026341830945,0.32258861451429804,0.053882696266969274,True,physical effect plus numerical residual; not listening score
S2,48000,reference,AB,0.8841316874865482,0.7754181753395789,0.176018667289899,True,physical effect plus numerical residual; not listening score
S2,96000,reference,AB,0.4925280981976382,0.9170610656901484,0.14625181403017348,True,physical effect plus numerical residual; not listening score
S2,44100,edge,A1,0.8665945854318359,0.8806289770845134,0.28085411509161634,True,physical effect plus numerical residual; not listening score
S2,48000,edge,A1,1.1772484904184317,1.1736041342352328,0.39597226905993865,True,physical effect plus numerical residual; not listening score
S2,96000,edge,A1,0.9642234568235012,1.1009782515018338,0.2915180456225106,True,physical effect plus numerical residual; not listening score
S2,44100,edge,B1,1.9318608271327227,2.0224203482129246,0.003408257497755355,True,physical effect plus numerical residual; not listening score
S2,48000,edge,B1,1.932494896413366,1.9508105673362717,0.0035800808795634115,True,physical effect plus numerical residual; not listening score
S2,96000,edge,B1,1.922530802639017,1.9364465595582985,0.003172882475532295,True,physical effect plus numerical residual; not listening score
S2,44100,edge,AB,0.8665948080749881,0.8806289770845134,0.28085467866647346,True,physical effect plus numerical residual; not listening score
S2,48000,edge,AB,1.177248736778998,1.1736041342352328,0.39597624699203643,True,physical effect plus numerical residual; not listening score
