rate,kernel,frequency_hz,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,core_pass
48000,lagrange-g32,16000.0,1.0622851377862723e-05,1.6586734121359667e-05,8.002377980621624e-06,True,True
48000,lagrange-g32,18000.0,0.0008985690180584011,0.001402680427168711,0.0006401305470239133,True,True
48000,lagrange-g32,20000.0,0.022208696536527035,0.03465021111675008,0.018265319372605712,True,False
48000,hann-g32,1000.0,4.707911776013336e-06,8.97238878390711e-06,4.511275620677184e-06,True,True
48000,hann-g32,2000.0,4.812254419034766e-06,9.093169486206978e-06,4.5810451432494984e-06,True,True
48000,hann-g32,4000.0,4.955659298131223e-06,9.09406687154498e-06,4.686596105915325e-06,True,True
48000,hann-g32,8000.0,6.5949641927726136e-06,1.2132224129070375e-05,5.95572535076177e-06,True,True
48000,hann-g32,12000.0,1.3545433132811137e-05,1.618878525561964e-05,1.011012580100203e-05,True,True
48000,hann-g32,16000.0,2.5172211953828487e-05,3.6004763723628395e-05,2.2297307718549962e-05,True,True
48000,hann-g32,18000.0,0.00012399519222136682,0.0001781133348653242,9.726742334790574e-05,True,True
48000,hann-g32,20000.0,0.00028100333364282126,0.0004260528700417284,0.0002537117884587815,True,True
48000,kaiser-g32,1000.0,2.102901571645941e-05,3.188031020927605e-05,2.03590545593634e-05,True,True
48000,kaiser-g32,2000.0,2.2144306470586078e-05,3.370034163128537e-05,2.1454841875095974e-05,True,True
48000,kaiser-g32,4000.0,2.0048844034284798e-05,2.919058659739892e-05,1.917360426794044e-05,True,True
48000,kaiser-g32,8000.0,2.5749356133018163e-05,4.027927061012731e-05,2.4227874335060502e-05,True,True
48000,kaiser-g32,12000.0,5.429906335165824e-06,6.462816476635368e-06,3.5962910452758517e-06,True,True
48000,kaiser-g32,16000.0,1.2953456523389651e-05,1.604465877414402e-05,1.1564356086211064e-05,True,True
48000,kaiser-g32,18000.0,3.4820769817933437e-06,6.564326346106679e-06,3.1013354401203745e-06,True,True
48000,kaiser-g32,20000.0,4.112790429349742e-05,6.333745756251139e-05,3.846096451036566e-05,True,True
48000,lagrange-g64,1000.0,1.8403610786622298e-13,8.552325572399026e-13,1.2993301275919857e-13,True,True
48000,lagrange-g64,2000.0,3.6442679020229537e-13,1.614874900988983e-12,2.5790661694570227e-13,True,True
48000,lagrange-g64,4000.0,7.367138939928351e-13,2.806426974586937e-12,5.191973536907541e-13,True,True
